mdb_source_id,Transitland ID,Transit Feeds ID
509,f-dr5-nj~transit~rail,nj-transit/408
510,f-dr5r-mtabc,mta/85
511,,mta/886
512,f-dr5r-mtanyctbusbrooklyn,mta/80
513,f-dr5r-mtanyctbusmanhattan,mta/82
514,f-dr5r-mtanyctbusstatenisland,mta/84
515,f-dr5r-nycferry,nyc-ferry/944
516,f-dr5r-nyctsubway,mta/79
517,f-dr5r-path~nj~us,port-authority-of-new-york-and-new-jersey/384
518,,nyc-dot/281
519,f-dr5re-downtownalliance,
520,f-dr5x-mtanyctbusqueens,mta/83
521,f-dr5x-wwwnicebuscom,nassau-inter-county-express/268
522,f-dr5x2-jfkairtrain,jfk-airtrain/433
523,f-dr63-monroecountytransitauthority,monroe-county-transportation-authority/662
524,f-dr7-mtanyc~metro~north,mta/87
525,f-dr7-nywaterway,
